leiden_r06,x_aligned,y_aligned,CD274
CAF,899.4210205078125,508.0605773925781,0.0
CAF,901.47900390625,510.1531677246093,0.0
CAF,896.2343139648438,519.6100463867188,0.0
CAF,902.4893798828125,505.557861328125,0.0
CAF,909.48486328125,539.2892456054688,0.0
CAF,905.3291015625,515.6478881835938,0.0
CAF,907.3406982421875,510.2223815917969,0.0
CAF,909.8212890625,493.610107421875,0.0
CAF,903.12744140625,506.8981018066406,0.0
CAF,900.7072143554688,488.6479797363281,0.0
CAF,900.3604736328125,500.5176086425781,0.0
CAF,906.3737182617188,482.3973083496093,0.0
CAF,938.9619140625,390.79656982421875,0.0
CAF,855.3746337890625,290.3545227050781,0.0
CAF,921.3493041992188,346.86297607421875,0.0
CAF,928.9486694335938,352.5168151855469,0.0
CAF,925.3109130859375,334.73382568359375,3.6171656
CAF,925.9581909179688,343.1585998535156,3.6494415
CAF,912.9805297851562,341.4403381347656,0.0
CAF,906.0226440429688,320.4040832519531,0.0
CAF,913.843505859375,311.4266357421875,0.0
CAF,862.346923828125,514.875244140625,0.0
CAF,844.3682250976562,515.9110717773438,3.6828535
CAF,871.9005126953125,469.8791809082031,0.0
CAF,854.7697143554688,510.48077392578125,0.0
CAF,844.9645385742188,501.00933837890625,0.0
CAF,855.2738037109375,501.2122802734375,0.0
CAF,872.4768676757812,478.2773742675781,0.0
CAF,873.5034790039062,476.2430114746093,0.0
CAF,892.4417114257812,515.9185180664062,0.0
CAF,890.7069702148438,521.0835571289062,0.0
CAF,891.9777221679688,487.5872802734375,0.0
CAF,693.6937255859375,255.1629943847656,0.0
CAF,697.4271240234375,257.187255859375,0.0
CAF,691.9089965820312,275.51824951171875,0.0
CAF,685.4783325195312,263.34124755859375,0.0
CAF,679.7927856445312,303.87255859375,0.0
CAF,843.129638671875,499.5205383300781,0.0
CAF,843.9954223632812,512.9683227539062,0.0
CAF,833.8807373046875,505.0332336425781,0.0
CAF,837.3837280273438,511.5200500488281,0.0
CAF,815.14990234375,460.0972595214843,0.0
CAF,820.3676147460938,525.1008911132812,0.0
CAF,820.653076171875,537.3112182617188,1.7988781
CAF,819.259765625,472.6407775878906,0.0
CAF,816.154541015625,470.890625,0.0
CAF,827.2357177734375,416.78948974609375,0.0
CAF,830.5472412109375,425.393798828125,0.0
CAF,819.2125854492188,424.6295471191406,0.0
CAF,824.0469360351562,439.22686767578125,0.0
CAF,830.4913940429688,435.9939880371094,0.0
CAF,825.355224609375,426.148193359375,0.0
CAF,816.8387451171875,438.048828125,0.0
CAF,836.6380615234375,412.7421569824219,0.0
CAF,702.9848022460938,225.608154296875,0.0
CAF,702.7551879882812,211.23587036132812,0.0
CAF,688.8582763671875,225.7503356933594,0.0
CAF,692.9498901367188,212.71127319335938,0.0
CAF,694.7954711914062,219.93392944335938,0.0
CAF,789.143310546875,272.32159423828125,2.6750803
CAF,840.619384765625,272.9476318359375,0.0
CAF,836.2705078125,264.9991455078125,2.9855301
CAF,835.3746948242188,272.5406494140625,0.0
CAF,802.4866333007812,260.77142333984375,0.0
CAF,690.9849853515625,237.6479034423828,0.0
CAF,698.4102783203125,233.8938751220703,0.0
CAF,692.8092651367188,250.8789825439453,0.0
CAF,781.5721435546875,249.88623046875,0.0
CAF,784.8385009765625,273.3688049316406,0.0
CAF,739.7742919921875,256.5563659667969,0.0
CAF,738.9683837890625,259.2577819824219,0.0
CAF,230.7903594970703,426.5300598144531,0.0
CAF,223.64967346191406,418.2523193359375,0.0
CAF,223.32684326171875,398.737548828125,0.0
CAF,252.65843200683594,389.6807861328125,0.0
CAF,229.9386444091797,363.3525085449219,0.0
CAF,233.09629821777344,305.4505615234375,0.0
CAF,366.09771728515625,332.65032958984375,0.0
CAF,358.9112243652344,383.9166259765625,0.0
CAF,357.10101318359375,352.92510986328125,0.0
CAF,357.1265563964844,319.021484375,0.0
CAF,359.4026184082031,350.14276123046875,0.0
CAF,359.4219055175781,341.20831298828125,0.0
CAF,354.7062072753906,351.8309020996094,0.0
CAF,332.9242248535156,196.98782348632812,0.0
CAF,345.49908447265625,212.2506866455078,0.0
CAF,366.32159423828125,275.1270751953125,0.0
CAF,361.7529296875,239.4982452392578,0.0
CAF,366.6800842285156,220.27195739746094,0.0
CAF,249.9375915527344,251.8878936767578,0.0
CAF,354.4068603515625,208.49679565429688,0.0
CAF,359.8988952636719,211.4658660888672,0.0
CAF,354.95458984375,203.13662719726562,0.0
CAF,574.7092895507812,501.2847595214843,0.0
CAF,570.6729736328125,399.7144470214844,0.0
CAF,566.9097900390625,390.0230712890625,0.0
CAF,560.997802734375,401.27301025390625,0.0
CAF,565.5335083007812,396.8612060546875,0.0
CAF,585.7116088867188,458.79473876953125,0.0
CAF,591.349609375,466.0006408691406,0.0
CAF,587.5692749023438,463.503662109375,0.0
CAF,607.0338134765625,523.7685546875,0.0
CAF,588.701416015625,511.3043212890625,0.0
CAF,606.2898559570312,491.4278564453125,0.0
CAF,599.55859375,428.8353576660156,0.0
CAF,590.839111328125,450.9735107421875,0.0
CAF,585.503173828125,448.1377258300781,0.0
CAF,584.1130981445312,442.6080017089844,0.0
CAF,589.3278198242188,415.5867004394531,0.0
CAF,444.8547668457031,770.1864624023438,0.0
CAF,434.5821228027344,664.9364624023438,0.0
CAF,226.7074737548828,450.2540588378906,0.0
CAF,219.02325439453125,438.6962890625,0.0
CAF,218.52247619628906,356.7828063964844,0.0
CAF,209.5055694580078,413.0241394042969,0.0
CAF,214.48696899414062,406.1588134765625,0.0
CAF,213.3485107421875,388.2093505859375,0.0
CAF,219.89842224121094,377.28851318359375,0.0
CAF,211.59254455566406,400.6315612792969,0.0
CAF,208.00941467285156,428.2559509277344,0.0
CAF,211.98486328125,433.54669189453125,0.0
CAF,199.81893920898438,492.7318420410156,0.0
CAF,190.51577758789062,478.7980041503906,0.0
CAF,194.53797912597656,469.2718200683593,2.5337706
CAF,208.4716033935547,464.9456481933593,1.8644773
CAF,199.8239288330078,465.8456115722656,0.0
CAF,130.89602661132812,613.355712890625,0.0
CAF,169.95440673828125,514.1087646484375,2.0462136
CAF,147.69778442382812,559.9577026367188,2.596922
CAF,131.50946044921875,584.697509765625,0.0
CAF,132.16233825683594,573.8134155273438,0.0
CAF,132.43861389160156,560.8716430664062,0.0
CAF,147.93882751464844,541.9076538085938,0.0
CAF,157.33773803710938,517.6397705078125,0.0
CAF,159.66539001464844,540.6100463867188,0.0
CAF,406.0669860839844,321.6944274902344,1.9560932
CAF,406.6422424316406,392.444580078125,0.0
CAF,395.5982971191406,277.8642272949219,3.036935
CAF,393.6603698730469,273.7705078125,0.0
CAF,386.4071350097656,325.0434265136719,0.0
CAF,382.8528747558594,302.8457336425781,0.0
CAF,390.082763671875,309.2975769042969,0.0
CAF,381.6356506347656,298.9955749511719,0.0
CAF,379.40423583984375,267.4980773925781,0.0
CAF,562.2793579101562,1409.4443359375,0.0
CAF,562.538330078125,1462.0255126953125,0.0
CAF,549.1235961914062,1412.446044921875,0.0
CAF,559.0516967773438,1515.13916015625,0.0
CAF,546.5489501953125,1525.1417236328125,0.0
CAF,542.2965698242188,1471.2921142578125,0.0
CAF,562.1119995117188,1498.9456787109375,0.0
CAF,526.4351806640625,1518.845458984375,0.0
CAF,524.3619995117188,1521.418701171875,2.554308
CAF,533.828125,1469.5185546875,0.0
CAF,514.6891479492188,1585.9248046875,0.0
CAF,501.1008605957031,1426.62060546875,0.0
CAF,593.9285278320312,1375.5816650390625,2.4061174
CAF,599.8050537109375,1387.95166015625,2.879576
CAF,616.9190063476562,1399.4757080078125,0.0
CAF,618.9041748046875,1394.226806640625,0.0
CAF,618.7404174804688,1403.122802734375,2.842295
CAF,600.5451049804688,1401.8741455078125,0.0
CAF,598.7598266601562,1403.613037109375,0.0
CAF,595.8248291015625,1404.156982421875,0.0
CAF,583.8159790039062,1475.657958984375,0.0
CAF,587.1607055664062,1487.8194580078125,0.0
CAF,589.5947265625,1485.144775390625,0.0
CAF,597.7047119140625,1468.1937255859375,0.0
CAF,609.6331176757812,1462.1414794921875,0.0
CAF,618.4013671875,1457.8421630859375,0.0
CAF,611.1676635742188,1413.1099853515625,0.0
CAF,608.3524780273438,1409.943359375,0.0
CAF,579.223876953125,1417.6553955078125,3.3489397
CAF,576.5736083984375,1407.7420654296875,0.0
CAF,580.470947265625,1398.7054443359375,0.0
CAF,599.7734985351562,1419.7952880859375,0.0
CAF,602.7738037109375,1414.605224609375,0.0
CAF,581.6521606445312,1415.96728515625,0.0
CAF,578.5068359375,1407.41162109375,0.0
CAF,593.0926513671875,1417.529541015625,0.0
CAF,585.479248046875,1417.51806640625,0.0
CAF,586.0042724609375,1408.2452392578125,0.0
CAF,612.7239990234375,1392.88623046875,0.0
CAF,606.3729248046875,1397.76171875,0.0
CAF,612.217041015625,1397.724853515625,2.7032104
CAF,593.8878173828125,1392.4814453125,0.0
CAF,593.5095825195312,1396.202392578125,3.446653
CAF,552.5935668945312,1361.738525390625,0.0
CAF,576.2138671875,1389.1949462890625,0.0
CAF,587.8546752929688,1390.6806640625,2.6466115
CAF,564.225830078125,1386.1480712890625,3.0445225
CAF,555.6063232421875,1372.632080078125,0.0
CAF,517.5358276367188,1401.8614501953125,0.0
CAF,530.6610717773438,1351.2923583984375,3.0502548
CAF,483.6712341308593,1401.5982666015625,0.0
CAF,529.5975341796875,1257.7843017578125,0.0
CAF,537.5204467773438,1354.5450439453125,0.0
CAF,545.5255737304688,1413.4573974609375,0.0
CAF,544.0571899414062,1356.0882568359375,2.713668
CAF,544.0775756835938,1378.19677734375,0.0
CAF,489.611328125,1210.380615234375,0.0
CAF,527.9109497070312,1195.693359375,0.0
CAF,470.9516296386719,1206.0321044921875,2.8955812
CAF,483.8728942871093,1204.4114990234375,0.0
CAF,184.1370849609375,801.07861328125,0.0
CAF,182.532958984375,845.7901000976562,0.0
CAF,162.88645935058594,818.2210693359375,0.0
CAF,117.3519515991211,882.3642578125,0.0
CAF,189.4239959716797,906.490966796875,0.0
CAF,186.95416259765625,907.4686279296875,0.0
CAF,171.51116943359375,920.7586059570312,0.0
CAF,179.56129455566406,896.8731079101562,0.0
CAF,193.916015625,854.742431640625,4.7588086
CAF,110.36690521240234,868.2902221679688,0.0
CAF,135.6005401611328,920.1260375976562,0.0
CAF,151.15138244628906,933.746826171875,0.0
CAF,126.3357391357422,873.4563598632812,0.0
